,Model,N_Neighbors,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
kNN: n_neighbours=3.00,kNN,3,"['Mean_price_paid', 'Year']",-0.057895919782324334,626.5828233021416,809862.1663787628,-0.05793210965087625
kNN: n_neighbours=4.00,kNN,4,"['Mean_price_paid', 'Year']",0.0007305073200615242,608.8095762230439,764970.4221874883,0.0007104836320538377
kNN: n_neighbours=5.00,kNN,5,"['Mean_price_paid', 'Year']",0.0350902665795505,597.6487456890281,738664.181902616,0.03507462291022079
kNN: n_neighbours=6.00,kNN,6,"['Mean_price_paid', 'Year']",0.05662146824756864,590.8367270152102,722186.3686287402,0.056599776798088475
kNN: n_neighbours=7.00,kNN,7,"['Mean_price_paid', 'Year']",0.0724628455933094,585.5066132854997,710054.6062036366,0.07244763529672882
kNN: n_neighbours=8.00,kNN,8,"['Mean_price_paid', 'Year']",0.08488629066498854,581.5989057803062,700545.1164758097,0.08486998930598888
kNN: n_neighbours=9.00,kNN,9,"['Mean_price_paid', 'Year']",0.094083796732363,578.5164884786234,693502.2850085134,0.09407011972500612
kNN: n_neighbours=10.00,kNN,10,"['Mean_price_paid', 'Year']",0.10129770399021576,576.4679359491847,687977.3628185533,0.1012873880834192
kNN: n_neighbours=11.00,kNN,11,"['Mean_price_paid', 'Year']",0.10775237817198646,574.4077186784484,683034.9363654526,0.10774373567118611
kNN: n_neighbours=12.00,kNN,12,"['Mean_price_paid', 'Year']",0.11258033804777146,572.8550314211044,679337.6965819654,0.11257348182604032
kNN: n_neighbours=13.00,kNN,13,"['Mean_price_paid', 'Year']",0.1166700052876063,571.5847866474651,676206.6657192833,0.11666358286230738
kNN: n_neighbours=14.00,kNN,14,"['Mean_price_paid', 'Year']",0.12060848501752364,570.3762123600221,673191.5541888401,0.12060225716351258
kNN: n_neighbours=15.00,kNN,15,"['Mean_price_paid', 'Year']",0.12382437612775599,569.3372572664783,670728.4258460827,0.12381986958223556
